    Generation =     2   Individual =     6
   0.00000   0.00000   0.00000   0.05464  13.71442   1.67010  -0.04382
     1    -0.2520     5.7000     5.6400
     2     2.0000     5.8000     5.7658
     3     5.0000     5.9500     5.9434
     4    10.0000     6.1000     6.1210
     5    15.0000     6.2500     6.2500
     6    20.0000     6.4000     6.4000
     7    25.0000     6.5000     6.5000
     8    32.0000     7.9500     7.9500

      2022  12  27  15  17  11.2566(0.0035)
         -60.6515(0.0114)-125.0073(0.0140) 13.7144(0.0371)
                   36.7516     128.8208  0.0316
      PGEA 14.303A  -0.015 16.303B  -0.067   11.512    41.302   0.000  3.062
      YEAB 14.368A   0.024 16.288C  -0.125   11.668    41.574   0.000  3.088
      JAEA 14.873A  -0.005 17.243B  -0.061   16.054    51.099   0.000  3.621
      CHYB 15.768A  -0.044 18.778B  -0.087   22.909    61.742   0.000  4.555
      YEYB 16.518A   0.009  0.000C  99.990   27.703    67.130   0.000  5.253
      BUSA 16.713A   0.002 20.433B   0.067   28.982    68.175   0.000  5.454
      YOJB 16.928C   0.033 20.768B   0.095   30.254    69.424   0.000  5.638
      GGSA 17.773A   0.030 22.153C   0.063   35.512    72.793   0.000  6.486
      SUBA 17.823A   0.038 22.223C   0.063   35.903    73.322   0.000  6.529
      YCHB 17.958A  -0.003  0.000C  99.990   37.163    74.412   0.000  6.704
      SKBA 18.513A  -0.069 23.533B   0.043   41.010    76.343   0.000  7.325
