    Generation =     3   Individual =     9
  -0.01000  -0.00700  -0.00700   0.07294  17.43130   1.67010  -0.05165
     1    -0.0420     5.8029     5.4359
     2     2.0000     5.8856     5.5285
     3     5.0000     6.0106     5.6823
     4    10.0000     6.1568     5.8622
     5    15.0000     6.3164     6.0586
     6    20.0000     6.4677     6.1607
     7    25.0000     6.5677     6.2607
     8    32.0000     7.9011     7.5941
     9    35.0000     8.0400     8.0400
    10    77.5000     8.0450     8.0450

      2023   5   8  10  51  34.0220(0.0032)
         -32.0247(0.0199) -42.5665(0.0153) 17.4313(0.0244)
                   37.4959     129.1378  0.0538
      TOHA 37.092A  -0.006 39.108B  -0.051    1.748     6.025 314.813  3.076
      SNGB 38.403A   0.089 41.163B  -0.028   17.202    47.632 195.366  4.292
      JOGB 38.704A   0.085 41.669B  -0.030   19.672    52.014 315.052  4.597
      LMGA 39.328A   0.031 42.923C   0.091   24.241    57.933 268.785  5.275
      JGJA 40.069B  -0.085 44.389C   0.126   30.492    65.774 319.645  6.132
      IMWT 40.632A  -0.032 45.008B  -0.106   33.873    68.972 147.763  6.642
      IMWB 40.679A   0.015 45.090C  -0.025   33.854    68.911 147.778  6.642
      GAGA 41.767A   0.028 46.918C   0.009   40.631    73.895 176.023  7.717
      JESA 41.990B  -0.054  0.000C  99.990   42.426    74.825 260.217  8.022
      GWLA 42.015A   0.069  0.000C  99.990   41.556    73.768 222.416  7.924
      KAWA 42.052A   0.042 47.448C   0.085   42.377    75.100 324.069  7.988
      JDGB 42.693A  -0.005 48.593C   0.082   46.288    76.708 298.036  8.676
      OUJA 42.711B  -0.026 48.532C  -0.045   46.957    77.823 154.007  8.715
      JJBA 43.751B  -0.074 50.467C   0.073   53.384    80.348 288.666  9.803
      JSTB 43.792B  -0.011 50.444C   0.086   53.553    80.851 231.031  9.781
      SNDA 43.906B  -0.094 50.733C   0.046   54.609    81.039 241.637  9.978
      JMJ2 44.003B   0.044  0.000C  99.990   54.462    81.130 322.045  9.937
      UJNA 45.010B  -0.016  0.000C  99.990   60.981    83.185 156.353 11.004
