    Generation =     2   Individual =     6
   0.00000   0.00000   0.00000   0.05994  15.04987   1.67010  -0.01036
     1    -0.2790     5.8029     5.6429
     2     2.0000     5.8856     5.7377
     3     5.0000     6.0106     5.8869
     4    10.0000     6.1568     6.0613
     5    15.0000     6.3164     6.2517
     6    20.0000     6.4677     6.3677
     7    25.0000     6.5677     6.4677
     8    32.0000     7.9011     7.8011
     9    35.0000     8.0400     8.0400
    10    77.5000     8.0450     8.0450

      2022  10  28  23  27  50.0381(0.0013)
        -144.0024(0.0086)-110.1704(0.0083) 15.0499(0.0210)
                   36.8762     127.8847  0.0467
      CHJ3 52.958A  -0.021 54.905B  -0.044    8.037    29.630   0.000  2.940
      CGAA 54.823A   0.016 57.950B  -0.053   23.520    62.803   0.000  4.769
      DKSA 54.870A   0.062 57.963B  -0.041   23.453    62.533   0.000  4.770
      AGSA 54.979A  -0.009 58.284B  -0.021   24.871    64.851   0.000  4.950
      MGY2 55.615A  -0.033 59.385C  -0.022   29.264    69.910   0.000  5.610
      JNPA 55.742A  -0.031 59.579B  -0.036   30.146    71.033   0.000  5.734
      BKWA 56.349A   0.026 60.598B   0.064   33.659    74.381   0.000  6.285
      DGLA 56.729A   0.072  0.000C  99.990   35.700    75.998   0.000  6.619
      BON2 56.925A   0.044  0.000C  99.990   37.213    77.679   0.000  6.843
      BURB 57.488A  -0.010 62.528B   0.031   41.272    82.148   0.000  7.460
      JECB 57.535A  -0.066 62.711B   0.042   41.811    82.250   0.000  7.563
      SLSA 57.806A  -0.028 63.097C   0.039   43.367    84.367   0.000  7.796
      DNYA 57.973A   0.069  0.000C  99.990   43.757    84.592   0.000  7.866
      HWSA 58.688A   0.010  0.000C  99.990   48.555    89.056   0.000  8.640
      BOGA 59.226A   0.052  0.000C  99.990   51.753    89.568   0.000  9.135
      JCUA 59.803A  -0.059  0.000C  99.990   55.959    89.725   0.000  9.823
      YCHB 59.871A  -0.115 66.735C   0.083   56.826    89.755   0.000  9.948
      YOJB 59.935A   0.018  0.000B  99.990   56.337    89.738   0.000  9.879
      SAJB 60.044A  -0.037  0.000C  99.990   57.422    89.767   0.000 10.043
      YAGA 60.473A  -0.022  0.000C  99.990   59.998    89.807   0.000 10.457
      YOW2 60.720A   0.034  0.000C  99.990   61.132    89.817   0.000 10.648
      ICN2 60.851A   0.027 68.077C   0.025   62.045    89.830   0.000 10.786
