2022 10 28 23 27 22
CHJ3 52.958A 54.905B
CGAA 54.823A 57.950B
DKSA 54.870A 57.963B
AGSA 54.979A 58.284B
JNPA 55.742A 59.579B
MGY2 55.615A 59.385C
BKWA 56.349A 60.598B
DGLA 56.729A 00.000C
BON2 56.925A 00.000C
BURB 57.488A 62.528B
JECB 57.535A 62.711B
SLSA 57.806A 63.097C
DNYA 57.973A 00.000C
HWSA 58.688A 00.000C
BOGA 59.226A 00.000C
YOJB 59.935A 00.000B
SAJB 60.044A 00.000C
YAGA 60.473A 00.000C
JCUA 59.803A 00.000C
YCHB 59.871A 66.735C
YOW2 60.720A 00.000C
ICN2 60.851A 68.077C



CHJ3 8.467735 14.686815
CGAA 23.621624 26.494927
DKSA 23.765129 26.622948
AGSA 24.389677 27.181912
KESB 25.800195 28.454351
JNPA 29.813947 32.138317
MGY2 29.865006 32.185689
BKWA 33.424944 35.513756
DGLA 36.145047 38.084963
BON2 37.607986 39.476076
MGB 39.991495 41.753080
BURB 40.806600 42.534440
JECB 41.777385 43.466653
SLSA 42.746919 44.399314
DNYA 43.959110 45.567569
HWSA 49.112788 50.557551
BOGA 51.119925 52.509492
HONA 55.251689 56.539802
CEA2 55.755917 57.032642
JCUA 55.902737 57.176184
YOJB 56.628986 57.886458
YCHB 57.324531 58.567071
SAJB 58.037638 59.265230
YAGA 59.605621 60.801563
OKCB 59.640426 60.835683
YOW2 61.186940 62.352559
ICN2 61.441966 62.602837
OJSA 62.396620 63.540052
JNUA 64.061896 65.176119
OPSA 69.167951 70.201179
ANHAT 69.427995 70.457409
BUSA 70.287548 71.304554
PYCB 71.706398 72.703559
IYIB 72.081346 73.073390
DNBA 73.179693 74.157046
PGEA 73.589563 74.561544
HESA 73.773818 74.743402
IYPA 75.025213 75.978830
SNDA 76.365265 77.302353
CGUB 76.845509 77.776810
JSTB 78.089437 79.006077
GUMA 80.562785 81.451595
ADOA 80.747725 81.634521
CGIA 81.724423 82.600734
OSBA 85.134697 85.976256
