    Generation =     3   Individual =     7
   0.03000   0.03100   0.03100   0.06654   6.47411   1.68465  -0.04411
     1    -0.4270     5.7000     5.7710
     2     2.0000     5.8000     5.8786
     3     5.0000     5.9500     6.0476
     4    10.0000     6.1000     6.2310
     5    15.0000     6.2500     6.3810
     6    20.0000     6.4000     6.5310
     7    25.0000     6.5000     6.5000
     8    32.0000     7.9500     7.9500

      2022   6  30  13  51  53.0260(0.0015)
         -19.3046(0.0089) -20.2409(0.0085)  6.4741(0.0358)
                   37.0174     128.9831  0.0483
      CHYB 55.118A   0.005 56.507B  -0.029   10.181    58.543 216.747  2.087
      TBA2 55.428A   0.011  0.000C  99.990   11.977    61.351 346.898  2.391
      GGSA 56.263A  -0.042 58.493B  -0.048   17.908    72.505 123.033  3.279
      GAGA 56.685A  -0.054 59.173B  -0.099   20.820    77.021  52.681  3.713
      JAEA 57.353A   0.067  0.000C  99.990   24.125    79.470 178.475  4.260
      GWLA 57.743A   0.018 60.992B   0.063   26.649    80.348 327.510  4.699
      BUSA 58.093A   0.016  0.000C  99.990   28.981    82.545 261.645  5.051
      SUBA 58.855A   0.015 62.862B   0.056   33.602    84.318 140.900  5.814
      SNGB 59.499A   0.008 63.980B   0.079   37.652    85.627  13.988  6.465
      UJNA 59.584A  -0.032  0.000C  99.990   38.418    85.796  94.000  6.590
      PGEA 59.693A  -0.011  0.000C  99.990   38.915    85.824 221.764  6.678
      SNDA 60.453A  -0.065 65.592A  -0.035   43.820    86.571 308.456  7.492
      YOJB 60.678A   0.037  0.000C  99.990   44.575    86.683 248.831  7.615
      YOW2 61.513A  -0.055  0.000C  99.990   50.182    87.262 291.477  8.542
      JESA 62.134A  -0.038 68.443B   0.032   53.801    87.514 328.602  9.146
      LMGA 62.213A   0.064 68.339B  -0.032   53.614    87.468 348.701  9.123
      TOHA 62.538B   0.061  0.000C  99.990   55.751    87.713  12.843  9.451
      DNYA 62.593A   0.080  0.000C  99.990   55.921    87.696 266.781  9.487
      YCHB 64.028A  -0.067 71.607B  -0.037   65.525    88.183 228.039 11.069
      DGLA 64.644A   0.070  0.000C  99.990   68.312    88.244 248.508 11.548
      JCUA 64.861B   0.089  0.000C  99.990   69.563    88.307 294.601 11.746
      JECB 65.079A  -0.072  0.000C  99.990   71.862    88.382 282.965 12.125
      DKSA 65.748B  -0.029  0.000C  99.990   75.638    88.490 260.667 12.751
      EUSB 66.137B  -0.013  0.000C  99.990   77.959    88.565 199.732 13.124
      DNBA 67.311C  -0.069  0.000C  99.990   85.408    76.066 215.520 14.354
      KAWA 67.770B  -0.038  0.000C  99.990   88.070    76.066 352.656 14.782
      BKWA 68.172B   0.032  0.000C  99.990   90.075    76.066 281.044 15.114
      CHJ3 68.307B  -0.016  0.000C  99.990   91.230    76.066 260.142 15.297
      JMJ2 69.427B   0.029  0.000C  99.990   97.994    76.066 348.291 16.372
