    Generation =     3   Individual =     6
   0.04000   0.04000   0.04000   0.05648   6.16236   1.68195  -0.06353
     1    -0.4270     5.7000     5.7800
     2     2.0000     5.8000     5.8970
     3     5.0000     5.9500     6.0653
     4    10.0000     6.1000     6.2400
     5    15.0000     6.2500     6.3900
     6    20.0000     6.4000     6.5400
     7    25.0000     6.5000     6.5000
     8    32.0000     7.9500     7.9500

      2022   6  30  13  51  53.0504(0.0016)
         -45.9287(0.0089) -95.5147(0.0091)  6.1624(0.0394)
                   37.0182     128.9839  0.0399
      CHYB 55.119A  -0.004 56.499B  -0.032   10.298    60.389 216.763  2.072
      TBA2 55.422A   0.021  0.000C  99.990   11.904    62.603 346.461  2.351
      GGSA 56.268A  -0.036 58.480B  -0.036   17.898    73.893 123.407  3.254
      GAGA 56.677A  -0.048 59.170C  -0.052   20.706    78.345  52.763  3.674
      JAEA 57.355A   0.050  0.000C  99.990   24.214    80.935 178.651  4.254
      GWLA 57.751A   0.028  0.000C  99.990   26.611    81.681 327.273  4.672
      BUSA 58.086A  -0.010 61.482B  -0.042   29.065    83.848 261.487  5.045
      SUBA 58.856A   0.007 62.857C   0.068   33.628    85.404 141.095  5.798
      SNGB 59.533A   0.056  0.000C  99.990   37.545    86.488  13.915  6.426
      UJNA 59.581A  -0.028  0.000C  99.990   38.352    86.636  94.145  6.558
      PGEA 59.692A  -0.034  0.000C  99.990   39.030    86.688 221.754  6.676
      IMWB 59.946A   0.055  0.000C  99.990   40.085    86.916  52.301  6.841
      SNDA 60.452A  -0.067 65.593B  -0.002   43.820    87.280 308.303  7.469
      YOJB 60.681A   0.023  0.000C  99.990   44.675    87.381 248.755  7.607
      YOW2 61.525A  -0.047  0.000C  99.990   50.216    87.838 291.350  8.522
      LMGA 62.126A  -0.008  0.000C  99.990   53.537    87.996 348.606  9.083
      JESA 62.133A  -0.030  0.000C  99.990   53.761    88.035 328.486  9.113
      DNYA 62.592A   0.070  0.000C  99.990   55.999    88.185 266.692  9.471
