    Generation =     1   Individual =     6
   0.00000   0.00000   0.00000   0.07494  13.47299   1.67177   0.00305
     1    -0.4270     5.7000     5.7000
     2     2.0000     5.8000     5.8000
     3     5.0000     5.9500     5.9500
     4    10.0000     6.1000     6.1000
     5    15.0000     6.2500     6.2500
     6    20.0000     6.4000     6.4000
     7    25.0000     6.5000     6.5000
     8    32.0000     7.9500     7.9500

      2022   7  15  15  31  41.0108(0.0019)
         -60.6667(0.0109)-124.8377(0.0168) 13.4730(0.0243)
                   36.7532     128.8206  0.0627
      PGEA 44.030A  -0.003 46.053B  -0.004   11.482    41.483   0.000  3.022
      JAEA 44.593A  -0.001 47.003B   0.009   16.017    51.211   0.000  3.583
      CHYB 45.498A  -0.019 48.507B  -0.030   22.771    61.597   0.000  4.506
      BUSA 46.453A   0.037 50.043C   0.004   28.841    67.975   0.000  5.405
      YOJB 46.658B   0.047 50.368C   0.005   30.164    69.235   0.000  5.600
      GGSA 47.493A   0.033 51.773C  -0.008   35.438    72.561   0.000  6.449
      SUBA 47.563A   0.048 51.873C  -0.001   35.904    73.138   0.000  6.504
      YCHB 47.647A  -0.051 52.190C   0.012   37.209    74.298   0.000  6.687
      TBA2 48.638B   0.026 53.793C   0.087   42.633    76.362   0.000  7.601
      EUSB 49.019B  -0.018 54.370C  -0.046   45.615    78.392   0.000  8.026
      DNYA 49.603B   0.026  0.000C  99.990   48.928    79.560   0.000  8.566
      DGLA 49.653B  -0.001  0.000C  99.990   49.289    79.470   0.000  8.643
      GWLA 50.053B  -0.025  0.000C  99.990   51.762    80.022   0.000  9.067
      GAGA 50.164B   0.065 56.181C  -0.008   52.173    80.644   0.000  9.088
      DNBA 50.323B   0.031 56.524C   0.013   53.394    81.061   0.000  9.281
      YOW2 51.017A   0.050 57.599C  -0.040   57.494    82.042   0.000  9.956
      UJNA 51.294B   0.067  0.000C  99.990   59.169    82.533   0.000 10.216
      SNDA 51.333B  -0.023  0.000C  99.990   59.884    82.585   0.000 10.345
      DKSA 51.863B   0.075  0.000C  99.990   62.524    83.115   0.000 10.777
      MGY2 52.728A  -0.073 60.649C  -0.052   68.784    84.222   0.000 11.790
      SAJB 52.878A  -0.220 61.148C  -0.050   70.644    84.516   0.000 12.087
      SNGB 53.052B   0.067 61.029C   0.019   69.953    84.423   0.000 11.975
      JECB 53.261B  -0.024 61.557C   0.047   71.717    84.597   0.000 12.274
      GUMA 53.743B  -0.096 62.393C  -0.041   75.186    85.078   0.000 12.828
      CHJ3 54.030A  -0.054 62.908B   0.063   76.636    85.197   0.000 13.074
      JESA 54.035C  -0.022  0.000C  99.990   76.403    85.126   0.000 13.046
      PYCB 54.418C  -0.053  0.000C  99.990   78.967    85.410   0.000 13.460
      LMGA 54.914C  -0.062  0.000C  99.990   81.972    85.641   0.000 13.965
      HWSA 55.494C  -0.080  0.000C  99.990   85.715    85.998   0.000 14.563
      BKWA 55.914C   0.084  0.000C  99.990   87.326    77.422   0.000 14.819
      TOHA 55.959C   0.053  0.000C  99.990   87.887    77.422   0.000 14.895
      BON2 57.008A   0.070  0.000C  99.990   94.216    77.422   0.000 15.927
      CGAA 57.513A  -0.004  0.000C  99.990   97.894    77.422   0.000 16.507
      PYCA 57.528C  -0.032  0.000C  99.990   98.005    77.422   0.000 16.549
      AGSA 57.563C   0.081  0.000C  99.990   97.730    77.422   0.000 16.471
